Temp. Ambiente,Potência Gerada
23.68,438.65
8.28,480.15
23.44,447.19
25.32,443.04
3.94,488.81
17.3,455.75
18.2,455.86
21.43,457.68
11.16,479.11
30.38,432.84
23.36,448.37
21.69,447.06
23.62,443.53
21.87,445.21
29.25,441.7
20.03,450.93
18.14,451.44
24.23,441.29
18.11,458.85
6.57,481.46
12.56,467.19
13.4,461.54
27.1,439.08
14.28,467.22
16.29,468.8
31.24,426.93
10.57,474.65
13.8,468.97
25.3,433.97
18.06,450.53
25.42,444.51
15.07,469.03
11.75,466.56
20.23,457.57
27.31,440.13
28.57,433.24
17.9,452.55
23.83,443.29
27.92,431.76
17.34,454.97
17.94,456.7
6.4,486.03
11.78,472.79
20.28,452.03
21.04,443.41
25.11,441.93
30.28,432.64
8.14,480.25
16.86,466.68
6.25,494.39
22.35,454.72
17.98,448.71
21.19,469.76
20.94,450.71
24.23,444.01
19.18,453.2
20.88,450.87
23.67,441.73
14.12,465.09
25.23,447.28
6.54,491.16
20.08,450.98
24.67,446.3
27.82,436.48
15.55,460.84
24.26,442.56
13.45,467.3
11.06,479.13
24.91,441.15
22.39,445.52
11.95,475.4
14.85,469.3
10.11,463.57
23.67,445.32
16.14,461.03
15.11,466.74
24.14,444.04
30.08,434.01
14.77,465.23
27.6,440.6
13.89,466.74
26.85,433.48
12.41,473.59
13.08,474.81
18.93,454.75
20.5,452.94
30.72,435.83
7.55,482.19
13.49,466.66
15.62,462.59
24.8,447.82
10.03,462.73
22.43,447.98
14.95,462.72
24.78,442.42
23.2,444.69
14.01,466.7
19.4,453.84
30.15,436.92
6.91,486.37
29.04,440.43
26.02,446.82
5.89,484.91
26.52,437.76
28.53,438.91
16.59,464.19
22.95,442.19
23.96,446.86
17.48,457.15
6.69,482.57
10.25,476.03
28.87,428.89
12.04,472.7
22.58,445.6
15.12,464.78
25.48,440.42
27.87,428.41
23.72,438.5
25.0,438.28
8.42,476.29
22.46,448.46
29.92,438.99
11.68,471.8
14.04,471.81
19.86,449.82
25.99,442.14
23.42,441.46
10.6,477.62
20.97,446.76
14.14,472.52
8.56,471.58
24.86,440.85
29.0,431.37
27.59,437.33
10.45,469.22
8.51,471.11
29.82,439.17
22.56,445.33
11.38,473.71
20.25,452.66
22.42,440.99
14.85,467.42
25.62,444.14
19.85,457.17
13.67,467.87
24.39,442.04
16.07,471.36
11.6,460.7
31.38,431.33
29.91,432.6
19.67,447.61
27.18,443.87
21.39,446.87
10.45,465.74
19.46,447.86
23.55,447.65
23.35,437.87
9.26,483.51
10.3,479.65
20.94,455.16
23.13,431.91
12.77,470.68
28.29,429.28
19.13,450.81
24.44,437.73
20.32,460.21
20.54,442.86
12.16,482.99
28.09,440.0
9.25,478.48
21.75,455.28
23.7,436.94
16.22,461.06
24.75,438.28
10.48,472.61
29.53,426.85
12.59,470.18
23.5,455.38
29.01,428.32
9.75,480.35
19.55,455.56
21.05,447.66
24.72,443.06
21.19,452.43
10.77,477.81
28.68,431.66
29.87,431.8
22.99,446.67
24.66,445.26
32.63,425.72
31.38,430.58
23.87,439.86
25.6,441.11
27.62,434.72
30.1,434.01
12.19,475.64
13.11,460.44
28.29,436.4
13.45,461.03
10.98,479.08
26.48,435.76
13.07,460.14
25.56,442.2
22.68,447.69
28.86,431.15
22.7,445.0
27.89,431.59
13.78,467.22
28.14,445.33
11.8,470.57
10.71,473.77
24.54,447.67
11.54,474.29
29.47,437.14
29.24,432.56
14.51,459.14
22.91,446.19
27.02,428.1
13.49,468.46
30.24,435.02
23.19,445.52
17.73,462.69
18.62,455.75
12.85,463.74
32.33,439.79
25.09,443.26
29.45,432.04
16.91,465.86
14.09,465.6
10.73,469.43
23.2,440.75
8.21,481.32
9.3,479.87
16.97,458.59
23.69,438.62
25.13,445.59
9.86,481.87
11.33,475.01
26.95,436.54
15.0,456.63
20.76,451.69
14.29,463.04
19.74,446.1
26.68,438.67
14.24,466.88
21.98,444.6
22.75,440.26
8.34,483.92
11.8,475.19
8.81,479.24
30.05,434.92
16.01,454.16
21.75,447.58
13.94,467.9
29.25,426.29
22.33,447.02
16.43,455.85
11.5,476.46
23.53,437.48
21.86,452.77
6.17,491.54
30.19,438.41
11.67,476.1
15.34,464.58
11.5,467.74
25.53,442.12
21.27,453.34
28.37,425.29
28.39,449.63
13.78,462.88
14.6,464.67
5.1,489.96
7.0,482.38
26.3,437.95
30.56,429.2
21.09,453.34
28.21,442.47
15.84,462.6
10.03,478.79
20.37,456.11
21.19,450.33
33.73,434.83
29.87,433.43
19.62,456.02
9.93,485.23
9.43,473.57
14.24,469.94
12.97,452.07
7.6,475.32
8.39,480.69
25.41,444.01
18.43,465.17
10.31,480.61
11.29,476.04
22.61,441.76
29.34,428.24
18.87,444.77
13.21,463.1
11.3,470.5
29.23,431.0
27.76,430.68
29.26,436.42
25.72,452.33
23.43,440.16
25.6,435.75
22.3,449.74
27.91,430.73
30.35,432.75
21.78,446.79
7.19,486.35
20.88,453.18
24.19,458.31
9.98,480.26
23.47,448.65
26.35,458.41
29.89,435.39
19.29,450.21
17.48,459.59
25.21,445.84
23.3,441.08
15.42,467.33
21.44,444.19
29.45,432.96
29.69,438.09
15.52,467.9
11.47,475.72
9.77,477.51
22.6,435.13
8.24,477.9
17.01,457.26
19.64,467.53
10.61,465.15
12.04,474.28
29.19,444.49
21.75,452.84
23.66,435.38
27.05,433.57
29.63,435.27
18.2,468.49
32.22,433.07
26.88,430.63
29.05,440.74
8.9,474.49
18.93,449.74
27.49,436.73
23.1,434.58
11.22,473.93
31.97,435.99
13.32,466.83
31.68,427.22
23.69,444.07
13.83,469.57
18.32,459.89
11.05,479.59
22.03,440.92
10.23,480.87
23.92,441.9
29.38,430.2
17.35,465.16
9.81,471.32
4.97,485.43
5.15,495.35
21.54,449.12
7.94,480.53
18.77,457.07
21.69,443.67
10.07,477.52
13.83,472.95
10.45,472.54
11.56,469.17
23.64,435.21
10.48,477.78
13.09,475.89
10.67,483.9
12.57,476.2
14.45,462.16
14.22,471.05
6.97,484.71
20.61,446.34
14.67,469.02
29.06,432.12
14.38,467.28
32.51,429.66
11.79,469.49
8.65,485.87
9.75,481.95
9.11,479.03
23.39,434.5
14.3,464.9
17.49,452.71
31.1,429.74
19.77,457.09
28.61,446.77
13.52,460.76
13.52,471.95
17.57,453.29
28.18,441.61
14.29,464.73
18.12,464.68
31.27,430.59
26.24,438.01
7.44,479.08
29.78,436.39
23.37,447.07
10.62,479.91
5.84,489.05
14.51,463.17
11.31,471.26
11.25,480.49
9.18,473.78
19.82,455.5
24.77,446.27
9.66,482.2
21.96,452.48
18.59,464.48
24.75,438.1
24.37,445.6
29.6,442.43
25.32,436.67
16.15,466.56
15.74,457.29
5.97,487.03
15.84,464.93
14.84,466.0
12.25,469.52
27.38,428.88
8.76,474.3
15.54,461.06
18.71,465.57
13.06,467.67
12.72,466.99
19.83,463.72
27.23,443.78
24.27,445.23
11.8,464.43
6.76,484.36
25.99,442.16
16.3,464.11
16.5,462.48
10.59,477.49
26.05,437.04
19.5,457.09
22.21,450.6
17.86,465.78
29.96,427.1
19.08,459.81
23.59,447.36
3.38,488.92
26.39,433.36
8.99,483.35
10.91,469.53
13.08,476.96
23.95,440.75
15.64,462.55
18.78,448.04
20.65,455.24
4.96,494.75
23.51,444.58
5.99,484.82
23.65,442.9
5.17,485.46
26.38,457.81
6.02,481.92
23.2,443.23
8.57,474.29
30.72,430.46
21.52,455.71
22.93,438.34
5.71,485.83
18.62,452.82
27.88,435.04
22.32,451.21
14.55,465.81
17.83,458.42
9.68,470.22
19.41,449.24
13.22,471.43
12.24,473.26
19.21,452.82
29.74,432.69
23.28,444.13
8.02,467.21
22.47,445.98
27.51,436.91
17.51,455.01
23.22,437.11
11.73,477.06
21.19,441.71
5.48,495.76
24.26,445.63
12.32,464.72
31.26,438.03
32.09,434.78
24.98,444.67
27.48,452.24
21.04,450.92
27.75,436.53
22.79,435.53
24.22,440.01
27.06,443.1
29.25,427.49
26.86,436.25
29.64,440.74
19.92,443.54
18.5,459.42
23.71,439.66
14.39,464.15
19.3,459.1
24.65,455.68
13.5,469.08
9.82,478.02
18.4,456.8
28.12,441.13
17.15,463.88
30.69,430.45
28.82,449.18
21.3,447.89
30.58,431.59
21.17,447.5
9.87,475.58
22.18,453.24
24.39,446.4
10.73,476.81
9.38,474.1
20.27,450.71
24.82,433.62
16.55,465.14
20.73,445.18
9.51,474.12
8.63,483.91
6.48,486.68
14.95,464.98
5.76,481.4
10.94,479.2
15.87,463.86
12.42,472.3
29.12,446.51
29.12,437.71
19.08,458.94
31.06,437.91
5.72,490.76
26.52,439.66
13.84,463.27
13.03,473.99
25.94,433.38
16.64,459.01
14.13,471.44
13.65,471.91
14.5,465.15
19.8,446.66
25.2,438.15
20.66,447.14
12.07,472.32
25.64,441.68
23.33,440.04
29.41,444.82
16.6,457.26
27.53,428.83
20.62,449.07
26.02,435.21
12.75,471.03
12.87,465.56
25.77,442.83
14.84,460.3
7.41,474.25
8.87,477.97
9.69,472.16
16.17,456.08
26.24,452.41
13.78,463.71
26.3,433.72
17.37,456.4
23.6,448.43
8.3,481.6
18.86,457.07
22.12,451.0
28.41,440.28
29.42,437.47
18.61,443.57
27.57,426.6
12.83,470.87
9.64,478.37
19.13,453.92
15.92,470.22
24.64,434.54
27.62,442.89
8.9,479.03
9.55,476.06
10.57,473.88
19.8,451.75
25.63,439.2
24.7,439.7
15.26,463.6
20.06,447.47
19.84,447.92
11.49,471.08
23.74,437.55
22.62,448.27
29.53,431.69
21.32,449.09
20.3,448.79
16.97,460.21
12.07,479.28
7.46,483.11
19.2,450.75
28.64,437.97
13.56,459.76
17.4,457.75
14.08,469.33
27.11,433.28
20.92,444.64
16.18,463.1
15.57,460.91
10.37,479.35
19.6,449.23
9.22,474.51
27.76,435.02
28.68,435.45
20.95,452.38
9.06,480.41
9.21,478.96
13.65,468.87
31.79,434.01
14.32,466.36
26.28,435.28
7.69,486.46
14.44,468.19
9.19,468.37
13.35,474.19
23.04,440.32
4.83,485.32
17.29,464.27
8.73,479.25
26.21,430.4
23.72,447.49
29.27,438.23
10.4,492.09
12.19,475.36
20.4,452.56
34.3,427.84
27.56,433.95
30.9,435.27
14.85,454.62
16.42,472.17
16.45,452.42
10.14,472.17
9.53,481.83
17.01,458.78
23.94,447.5
15.95,463.4
11.15,473.57
25.56,433.72
27.16,431.85
26.71,433.47
29.56,432.84
31.19,436.6
6.86,490.23
12.36,477.16
32.82,441.06
25.3,440.86
8.71,477.94
13.34,474.47
14.2,470.67
23.74,447.31
16.9,466.8
28.54,430.91
30.15,434.75
14.33,469.52
25.57,438.9
30.55,429.56
28.04,432.92
26.39,442.87
15.3,466.59
6.03,479.61
13.49,471.08
27.67,433.37
24.19,443.92
24.44,443.5
29.86,439.89
30.2,434.66
7.99,487.57
9.93,464.64
11.03,470.92
22.34,444.39
25.33,442.48
18.87,449.61
25.97,435.02
16.58,458.67
14.35,461.74
25.06,438.31
13.85,462.38
16.09,460.56
26.34,439.22
23.01,444.64
26.39,430.34
31.32,430.46
16.64,456.79
13.42,468.82
20.06,448.51
14.8,470.77
12.59,465.74
26.7,430.21
19.78,449.23
15.17,461.89
21.71,445.72
19.09,466.13
19.76,448.71
14.68,469.25
21.3,450.56
16.73,464.46
12.26,471.13
14.77,461.52
18.26,451.09
27.1,431.51
14.72,469.8
26.3,442.28
16.48,458.67
17.99,462.4
20.34,453.54
25.53,444.38
31.59,440.52
30.8,433.62
10.75,481.96
19.3,452.75
4.71,481.28
23.1,439.03
32.63,435.75
26.63,436.03
24.35,445.6
15.11,462.65
29.1,438.66
21.24,447.32
6.16,484.55
7.36,476.8
10.44,480.34
26.76,440.63
16.79,459.48
10.76,490.78
6.07,483.56
27.33,429.38
27.15,440.27
22.35,445.34
21.82,447.43
21.11,439.91
19.95,459.27
7.45,478.89
15.36,466.7
15.65,463.5
25.31,436.21
25.88,443.94
24.6,439.63
22.58,460.95
19.69,448.69
25.85,444.63
10.06,473.51
18.59,462.56
18.27,451.76
8.85,491.81
30.04,429.52
26.06,437.9
14.8,467.54
23.93,449.97
23.72,436.62
11.44,477.68
20.28,447.26
27.9,439.76
24.74,437.49
14.8,455.14
8.22,485.5
27.56,444.1
32.07,432.33
9.53,471.23
13.61,463.89
22.2,445.54
21.36,446.09
23.25,445.12
23.5,443.31
8.46,484.16
8.19,477.76
30.67,430.28
32.48,446.48
8.99,481.03
13.77,466.07
19.05,447.47
21.19,455.93
10.12,479.62
24.93,455.06
8.47,475.06
24.52,438.89
28.55,432.7
20.58,452.6
18.31,451.75
27.18,430.66
4.43,491.9
26.02,439.82
15.75,460.73
22.99,449.7
25.52,439.42
27.04,439.84
6.42,485.86
17.04,458.1
10.79,479.92
20.41,458.29
7.36,489.45
28.08,434.0
24.74,431.24
28.32,439.5
16.71,467.46
30.7,429.27
18.42,452.1
10.62,472.41
22.18,442.14
22.38,441.0
13.94,463.07
21.24,445.71
6.76,483.16
26.73,440.45
7.24,481.83
10.84,467.6
19.32,450.88
29.0,425.5
23.38,451.87
31.17,428.94
26.17,439.86
30.9,433.44
24.92,438.23
32.77,436.95
14.37,470.19
8.36,484.66
31.45,430.81
31.6,433.37
17.9,453.02
20.35,453.5
16.21,463.09
19.36,464.56
21.04,452.12
14.05,470.9
23.48,450.89
21.91,445.04
24.42,444.72
14.26,460.38
21.38,446.8
15.71,465.05
5.78,484.13
6.77,488.27
23.84,447.09
21.17,452.02
19.94,455.55
8.73,480.99
16.39,467.68
15.28,458.76
22.05,437.9
18.63,450.29
15.0,468.72
20.46,445.22
11.97,472.82
26.59,438.22
13.76,469.74
21.41,442.85
12.45,470.59
10.62,477.07
12.33,470.11
15.63,457.44
19.11,450.38
21.83,453.38
22.02,454.9
26.54,431.78
6.9,481.88
13.05,472.69
19.61,461.97
26.26,442.18
30.56,431.92
21.81,444.52
26.65,442.66
25.18,449.01
17.8,452.66
33.27,430.11
29.94,440.54
8.51,481.83
9.45,476.02
24.27,438.99
11.28,473.36
7.93,476.37
14.3,467.9
24.31,442.69
29.3,426.25
20.43,445.58
10.94,459.69
23.04,442.01
25.37,442.38
21.1,442.78
20.4,450.07
20.51,448.0
12.15,474.15
15.27,467.01
23.78,441.56
22.01,441.9
24.72,438.52
28.84,435.75
26.53,439.96
19.82,456.87
16.69,469.9
20.36,455.34
18.6,446.98
12.54,475.02
14.54,463.03
30.97,428.26
26.54,431.31
25.2,444.16
13.17,468.82
8.53,481.03
24.06,445.91
12.25,474.77
14.7,472.85
15.75,468.6
29.45,438.11
30.22,434.3
26.96,429.03
18.48,452.52
17.78,456.11
6.64,481.53
21.83,443.41
13.92,465.67
12.14,472.84
15.64,466.51
16.0,461.5
9.75,481.34
13.56,467.09
7.94,488.01
20.46,448.1
18.23,448.64
23.14,446.57
20.55,448.66
23.58,440.44
14.51,463.37
10.05,471.68
26.91,436.84
15.66,463.57
30.07,437.38
24.28,440.07
12.57,473.67
11.01,473.96
23.3,437.62
28.76,437.42
21.4,450.22
30.33,435.53
18.89,443.54
18.83,454.23
12.32,471.6
25.15,440.96
17.06,460.82
23.68,440.68
11.95,474.56
25.39,441.51
11.52,479.56
19.69,455.32
26.1,437.18
27.44,436.42
27.35,439.6
25.7,437.04
24.54,448.11
14.87,465.01
14.05,475.54
25.69,432.82
31.01,426.64
9.46,481.95
7.71,482.19
15.69,462.18
26.45,444.9
22.86,452.34
21.61,449.26
25.66,432.82
22.48,444.71
21.58,451.88
25.94,432.88
16.45,462.66
27.88,443.24
26.62,441.22
27.94,436.75
5.02,481.03
31.87,437.0
24.49,447.57
30.42,430.9
20.85,444.44
13.18,470.88
5.37,487.07
31.81,432.6
20.55,452.52
22.49,437.57
12.57,471.87
27.35,432.31
17.82,457.35
23.25,442.76
9.37,471.13
24.43,444.89
20.04,449.63
10.06,473.0
21.44,443.3
29.04,433.97
8.83,478.87
24.19,440.87
11.97,468.81
19.43,458.46
15.59,457.54
13.23,462.21
16.34,462.56
28.1,437.5
26.08,434.24
24.44,440.2
18.37,460.25
22.93,443.57
29.67,429.28
12.15,472.59
15.67,462.09
14.7,460.63
27.33,438.97
12.55,474.35
31.42,425.98
15.44,469.28
24.19,446.3
6.05,481.02
13.94,471.64
5.79,480.97
27.01,442.57
9.59,481.3
27.46,435.36
22.63,441.92
28.11,432.98
18.87,451.4
15.5,453.99
3.73,488.58
26.41,428.52
17.83,456.56
13.44,469.89
14.62,462.26
19.7,464.41
6.06,489.62
15.89,465.76
31.63,436.89
18.99,468.35
13.96,460.95
20.21,454.23
15.14,463.58
18.97,466.17
21.36,448.13
29.48,435.09
21.1,448.8
26.51,431.82
30.93,437.35
11.64,478.99
7.26,483.58
16.36,468.53
17.43,449.36
10.37,473.1
22.8,439.65
21.0,447.29
12.68,479.69
12.35,471.65
7.09,485.04
28.9,438.53
26.82,437.42
11.02,469.31
14.95,459.31
16.58,458.87
31.73,430.46
8.58,482.26
28.08,430.8
31.01,429.46
26.94,448.6
10.2,462.87
9.2,484.04
27.69,432.57
25.71,432.46
18.22,465.78
16.81,462.19
30.63,430.38
12.11,469.93
23.75,449.57
33.96,427.06
29.35,439.47
23.07,442.97
12.91,469.71
6.25,484.14
19.8,449.66
31.38,426.67
10.62,470.8
6.89,484.0
16.3,465.7
14.82,473.17
22.97,440.81
31.15,437.55
15.69,468.43
26.65,436.65
29.38,445.42
16.77,459.38
22.77,440.67
15.91,459.73
24.33,442.93
19.69,457.17
31.76,430.18
14.47,466.64
27.2,430.32
17.29,461.38
25.44,441.91
16.98,464.01
22.65,447.01
26.41,436.71
19.78,448.34
19.26,451.85
22.25,451.64
7.1,480.36
18.53,457.26
30.47,434.68
27.34,438.76
29.8,437.65
22.69,446.91
18.58,452.94
14.16,464.91
28.33,432.67
28.31,432.5
21.5,453.8
29.24,440.29
25.15,436.0
15.48,462.69
16.07,458.18
18.02,458.01
14.99,466.85
29.62,438.55
25.04,441.6
11.45,476.28
18.96,461.96
26.54,440.04
22.3,453.27
14.7,469.6
9.14,483.57
6.14,489.26
11.24,469.3
30.55,432.6
14.9,464.82
10.25,474.37
3.26,489.38
27.54,440.87
13.65,466.06
22.08,455.04
24.93,429.53
27.58,430.53
32.14,439.22
16.98,464.27
13.25,470.46
25.9,443.8
30.27,438.68
22.37,449.08
21.93,448.75
29.65,433.32
18.32,458.46
22.76,450.31
8.95,485.21
13.12,469.09
21.18,449.93
16.71,459.4
15.01,465.84
25.96,432.82
33.4,432.44
17.4,453.0
6.49,486.8
6.01,482.79
29.97,433.82
21.33,445.02
23.27,438.08
28.3,445.19
5.74,482.0
21.67,445.31
20.06,461.02
8.25,480.38
22.61,444.74
26.31,432.92
25.03,449.48
11.44,478.52
25.14,438.53
30.91,435.7
31.54,431.87
12.24,464.25
6.65,490.41
8.31,476.72
22.72,444.43
22.78,445.45
25.63,436.64
6.01,482.25
20.21,451.46
7.47,478.08
19.73,450.99
13.57,471.44
14.8,462.29
10.41,474.7
12.33,479.32
26.65,437.7
19.09,449.24
12.81,469.27
9.99,475.85
13.02,474.97
14.15,471.23
19.46,460.57
23.19,446.95
20.25,452.18
31.9,436.04
20.76,462.01
20.51,461.78
22.56,440.81
25.64,437.63
23.63,442.86
15.3,466.0
6.79,487.3
23.89,441.83
26.23,440.8
12.5,469.69
21.97,443.39
24.11,437.21
18.24,464.13
19.7,444.64
19.15,458.66
14.79,469.47
25.13,446.36
23.02,440.5
34.35,437.65
23.95,431.87
25.52,440.32
23.56,440.69
26.67,441.29
18.7,458.73
25.89,443.82
27.25,439.63
16.73,455.3
30.67,435.96
13.98,466.52
25.42,435.59
21.57,455.18
23.66,443.43
13.87,471.12
9.42,478.12
13.61,475.62
23.84,441.94
31.09,440.08
3.98,489.64
29.28,426.53
23.55,447.01
17.37,455.53
18.34,455.22
13.86,470.37
27.36,439.14
27.71,440.74
8.46,485.06
25.18,441.29
21.82,447.29
15.61,467.3
30.4,430.23
10.54,472.64
10.59,468.96
12.52,477.18
32.92,426.61
21.14,440.69
26.33,450.67
27.19,436.77
19.64,447.66
15.52,457.74
12.95,474.46
6.43,486.39
25.21,436.23
21.24,459.81
9.63,469.73
24.32,442.78
17.47,450.68
14.54,470.23
20.74,454.59
8.75,478.85
27.67,437.29
23.21,450.92
7.49,483.59
7.82,479.15
7.77,479.68
22.84,442.85
10.48,480.01
10.2,481.46
27.24,445.25
9.37,477.57
24.12,450.69
14.54,465.45
31.23,433.9
5.41,479.48
15.61,439.21
26.9,436.16
23.95,437.43
9.2,480.38
9.51,481.12
8.51,477.51
19.66,459.12
27.33,439.12
21.43,449.02
14.97,465.54
21.97,443.85
8.34,480.48
21.86,446.31
24.59,430.28
26.26,435.41
26.76,432.49
30.98,438.44
19.22,446.98
25.72,434.94
22.37,459.06
26.05,443.18
20.8,457.0
29.1,431.28
11.17,476.18
11.35,472.32
18.12,449.65
16.97,463.62
10.22,474.07
13.1,472.37
18.22,454.74
4.15,491.22
19.15,450.26
15.87,460.59
8.05,483.43
18.81,448.49
23.95,449.81
13.21,474.26
9.38,481.52
27.41,438.39
18.42,450.55
19.51,451.7
28.5,430.62
11.97,467.98
3.0,485.2
12.11,475.53
12.32,470.27
8.83,479.86
20.08,453.54
32.12,429.86
18.68,455.79
28.33,432.66
25.14,435.39
31.43,426.15
29.54,443.79
24.94,435.21
26.49,430.62
23.89,450.82
14.41,470.13
29.3,434.11
23.09,437.7
23.23,432.8
28.86,432.97
7.4,477.69
25.23,441.48
26.69,431.41
23.99,443.66
31.65,437.35
8.94,483.63
15.79,455.15
11.43,477.5
21.14,445.12
25.21,446.68
10.42,478.52
4.84,491.23
21.57,437.55
20.86,456.27
11.06,473.16
15.86,455.85
22.12,443.97
30.2,436.94
7.91,483.49
17.1,453.4
13.06,469.02
20.73,445.91
10.69,472.81
17.28,462.05
8.13,477.12
19.4,457.17
25.21,445.33
25.67,451.03
7.31,477.38
24.27,445.1
25.8,450.5
20.68,464.14
21.26,446.22
11.2,473.33
20.0,456.28
10.34,478.03
7.72,478.34
26.79,437.91
21.26,446.08
12.85,461.05
28.07,430.29
17.72,461.7
26.43,431.79
27.39,441.45
30.18,441.65
25.45,429.95
11.72,476.12
8.43,483.1
16.18,465.82
13.33,468.1
26.18,453.54
8.57,484.2
21.22,450.96
26.53,437.39
12.34,470.92
19.54,450.54
9.68,479.89
18.19,449.22
31.25,434.51
26.8,428.62
16.82,465.64
29.52,439.6
26.93,433.18
9.45,479.0
13.98,462.81
29.15,432.26
10.28,478.34
21.24,442.94
11.41,449.5
20.15,456.87
11.39,474.93
22.07,449.96
28.28,428.75
9.96,475.21
21.69,447.88
13.93,469.12
23.63,439.9
16.39,459.48
13.93,470.59
14.5,464.23
18.84,449.21
27.19,444.54
20.95,445.66
14.49,463.81
24.77,432.27
21.14,450.35
28.4,441.64
17.69,448.49
23.39,441.44
20.98,449.88
7.24,486.76
22.17,449.91
19.23,465.66
10.82,475.44
16.7,457.74
19.83,449.0
29.99,435.87
25.02,441.21
8.85,482.3
9.87,473.2
24.04,439.39
26.45,427.5
27.58,435.7
16.53,463.32
29.24,438.24
15.52,454.14
28.47,430.67
8.27,480.8
26.75,438.4
22.64,434.36
19.59,447.16
18.56,456.61
9.35,476.25
28.5,433.24
23.42,438.22
22.66,431.27
32.0,427.95
21.11,448.77
26.34,444.13
20.94,465.57
20.54,445.41
8.16,481.78
29.11,432.43
20.16,455.13
24.87,450.54
25.86,436.06
27.26,429.92
28.59,427.53
8.75,482.8
9.11,476.62
22.98,437.49
11.28,471.42
26.12,439.68
32.9,430.23
17.31,463.05
5.25,477.78
22.57,444.69
20.41,447.06
12.29,472.65
24.3,438.92
11.56,460.6
14.21,473.87
24.96,437.62
28.16,434.01
22.86,452.53
14.43,465.07
29.3,430.72
22.61,460.26
19.83,440.03
26.17,444.96
5.78,483.27
8.77,475.0
24.48,432.71
15.29,467.99
9.44,475.01
26.4,442.23
21.95,450.38
22.42,452.31
24.32,443.31
30.15,443.72
6.86,476.45
14.46,458.69
4.73,486.6
10.27,475.58
20.37,453.94
8.12,483.55
28.57,439.46
18.81,459.81
28.62,441.97
13.96,469.86
30.47,432.51
29.13,439.31
24.41,439.51
14.56,469.79
7.11,484.21
7.92,481.44
14.56,464.3
17.45,463.83
29.75,427.2
14.86,467.71
10.57,472.62
30.09,434.68
6.82,489.64
15.4,465.16
7.31,484.82
32.56,425.61
9.77,483.87
29.22,430.24
14.33,468.86
23.36,443.78
15.23,456.07
26.82,437.84
32.41,432.75
12.92,469.83
16.92,460.17
17.18,451.37
29.31,442.11
27.04,441.21
13.21,466.39
12.3,476.42
14.66,463.6
29.1,436.56
24.54,445.25
25.24,442.29
24.81,435.79
8.75,480.4
18.01,456.36
28.44,433.15
13.56,474.26
8.13,471.99
18.97,463.46
25.66,442.2
24.32,444.93
16.7,458.05
7.61,478.55
9.01,482.37
14.98,467.77
30.24,437.18
13.53,472.46
16.73,468.87
11.94,475.59
25.68,449.04
17.84,454.57
22.66,448.68
15.69,462.07
22.88,442.5
30.78,427.15
18.44,461.99
12.03,464.02
27.74,436.87
33.01,433.5
10.56,479.33
28.8,434.82
18.0,454.59
15.27,465.99
6.26,485.57
9.24,477.65
19.65,452.5
21.32,445.65
8.43,484.94
23.49,459.9
17.88,456.77
24.7,444.65
28.4,442.23
24.59,438.09
